ORDER_REF_index,ORDER_REF,GROSS,Total_in_netsuite,merchant_account,batch_number
A000000031,A000000031,195.0,Not_Available,JetBrainsAmericasUSD,139
A000000178,A000000178,1105.0,Not_Available,JetBrainsAmericasUSD,139
A000000197,A000000197,350.0,Not_Available,JetBrainsAmericasUSD,139
A000000213,A000000213,570.0,Not_Available,JetBrainsAmericasUSD,139
A000000227,A000000227,200.0,Not_Available,JetBrainsAmericasUSD,139
A000000241,A000000241,520.0,Not_Available,JetBrainsAmericasUSD,139
A000000243,A000000243,630.0,Not_Available,JetBrainsAmericasUSD,139
A000000253,A000000253,450.0,Not_Available,JetBrainsAmericasUSD,139
A000000277,A000000277,70.0,Not_Available,JetBrainsAmericasUSD,139
A000000302,A000000302,300.0,Not_Available,JetBrainsAmericasUSD,139
A000000374,A000000374,460.0,Not_Available,JetBrainsAmericasUSD,139
A000000456,A000000456,608.0,Not_Available,JetBrainsAmericasUSD,139
A000000478,A000000478,350.0,Not_Available,JetBrainsAmericasUSD,139
A000000479,A000000479,455.0,Not_Available,JetBrainsAmericasUSD,139
A000000585,A000000585,414.0,Not_Available,JetBrainsAmericasUSD,139
A000000614,A000000614,174.0,Not_Available,JetBrainsAmericasUSD,139
A000000624,A000000624,985.0,Not_Available,JetBrainsAmericasUSD,139
A000000640,A000000640,530.0,Not_Available,JetBrainsAmericasUSD,139
A000000671,A000000671,40.0,Not_Available,JetBrainsAmericasUSD,139
A000000840,A000000840,700.0,Not_Available,JetBrainsAmericasUSD,139
A000000848,A000000848,260.0,Not_Available,JetBrainsAmericasUSD,139
A000000900,A000000900,400.0,Not_Available,JetBrainsAmericasUSD,139
A000000936,A000000936,149.0,Not_Available,JetBrainsAmericasUSD,139
A000000958,A000000958,340.0,Not_Available,JetBrainsAmericasUSD,139
A000000969,A000000969,284.0,Not_Available,JetBrainsAmericasUSD,139
A000000976,A000000976,222.0,Not_Available,JetBrainsAmericasUSD,139
A000000990,A000000990,432.0,Not_Available,JetBrainsAmericasUSD,139
A000001025,A000001025,300.0,Not_Available,JetBrainsAmericasUSD,139
A000001154,A000001154,140.0,Not_Available,JetBrainsAmericasUSD,139
A000001168,A000001168,640.0,Not_Available,JetBrainsAmericasUSD,139
A000001181,A000001181,28.0,Not_Available,JetBrainsAmericasUSD,139
A000001224,A000001224,965.0,Not_Available,JetBrainsAmericasUSD,139
A000001263,A000001263,142.0,Not_Available,JetBrainsAmericasUSD,139
A000001301,A000001301,140.0,Not_Available,JetBrainsAmericasUSD,139
A000001330,A000001330,240.0,Not_Available,JetBrainsAmericasUSD,139
A000001338,A000001338,238.0,Not_Available,JetBrainsAmericasUSD,139
A000001446,A000001446,216.0,Not_Available,JetBrainsAmericasUSD,139
A000001489,A000001489,160.0,Not_Available,JetBrainsAmericasUSD,139
A000001493,A000001493,130.0,Not_Available,JetBrainsAmericasUSD,139
A000001499,A000001499,130.0,Not_Available,JetBrainsAmericasUSD,139
A000001571,A000001571,20.0,Not_Available,JetBrainsAmericasUSD,139
A000001584,A000001584,350.0,Not_Available,JetBrainsAmericasUSD,139
A000001763,A000001763,98.0,Not_Available,JetBrainsAmericasUSD,139
A000001767,A000001767,450.0,Not_Available,JetBrainsAmericasUSD,139
A000001789,A000001789,120.0,Not_Available,JetBrainsAmericasUSD,139
A000001940,A000001940,340.0,Not_Available,JetBrainsAmericasUSD,139
A000001947,A000001947,350.0,Not_Available,JetBrainsAmericasUSD,139
A000001994,A000001994,330.0,Not_Available,JetBrainsAmericasUSD,139
